[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局十堰市张湾区税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（四）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110110004', u'县（区）级及以下', u'行政执法类', u'2', u'工商管理类、农业经济管理类、公共管理类、图书情报与档案管理类、物流管理与工程类、工业工程类、电子商务类、旅游管理类、电子信息类、计算机类、自动化类、管理科学与工程类、测绘类、戏剧与影视学类、材料类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省十堰市张湾区', u'湖北省十堰市张湾区', u'在本单位最低服务年限为5年，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局郧西县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（五）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110112005', u'县（区）级及以下', u'行政执法类', u'2', u'工商管理类、农业经济管理类、公共管理类、图书情报与档案管理类、工业工程类、电子商务类、旅游管理类、电子信息类、计算机类、自动化类、管理科学与工程类、测绘类、材料类、能源动力类、矿业类、地理科学类、地质学类、地质类、航空航天类、戏剧与影视学类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省十堰市郧西县', u'湖北省十堰市郧西县', u'在本单位最低服务年限为5年，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局十堰经济技术开发区税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110116001', u'县（区）级及以下', u'行政执法类', u'2', u'工商管理类、农业经济管理类、图书情报与档案管理类、物流管理与工程类、工业工程类、电子商务类、旅游管理类、社会保障类、电子信息类、计算机类、自动化类、管理科学与工程类、测绘类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省十堰市', u'湖北省十堰市', u'在本单位最低服务年限为5年，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局孝感市孝南区税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（四）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110186004', u'县（区）级及以下', u'行政执法类', u'3', u'经济学类、财政学类、金融学类、经济与贸易类、数学类、统计学类、财会审计类、电子商务类、社会保障类、新闻传播学类、法学类、电子信息类、计算机类、管理科学与工程类、测绘类、地质类、矿业类、能源动力类、航空航天类、工业工程类、英语相关专业', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省孝感市孝南区', u'湖北省孝感市孝南区', u'在本单位最低服务年限为5年，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局大悟县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（七）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110191007', u'县（区）级及以下', u'行政执法类', u'2', u'工商管理类、农业经济管理类、图书情报与档案管理类、物流管理与工程类、工业工程类、电子商务类、社会保障类、测绘类、能源动力类、矿业类、地理科学类、地质学类、地质类、航空航天类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省孝感市大悟县', u'湖北省孝感市大悟县', u'在本单位最低服务年限为5年，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局黄冈市税务局龙感湖管理区税务分局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（一）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110203001', u'市（地）级', u'行政执法类', u'2', u'经济学类、财政学类、金融学类、经济与贸易类、财会审计类、农业经济管理类、图书情报与档案管理类、物流管理与工程类、工业工程类、电子商务类、旅游管理类、社会保障类、电子信息类、计算机类、自动化类、管理科学与工程类、测绘类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'二年', u'无限制', u'否', u'3:1', u'湖北省黄冈市黄梅县', u'湖北省黄冈市黄梅县', u'在本单位最低服务年限为5年，男性，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局咸宁市咸安区税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（二）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110227002', u'县（区）级及以下', u'行政执法类', u'2', u'工商管理类、农业经济管理类、图书情报与档案管理类、物流管理与工程类、工业工程类、电子商务类、旅游管理类、社会保障类、电子信息类、计算机类、自动化类、管理科学与工程类、测绘类、机械类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省咸宁市咸安区', u'湖北省咸宁市咸安区', u'在本单位最低服务年限为5年，男性，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局崇阳县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（三）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110231003', u'县（区）级及以下', u'行政执法类', u'2', u'工商管理类、农业经济管理类、图书情报与档案管理类、物流管理与工程类、工业工程类、电子商务类、旅游管理类、社会保障类、电子信息类、计算机类、自动化类、管理科学与工程类、机械类、中国语言文学类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省咸宁市崇阳县', u'湖北省咸宁市崇阳县', u'在本单位最低服务年限为5年，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局通山县税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（一）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110232001', u'县（区）级及以下', u'行政执法类', u'3', u'工商管理类、图书情报与档案管理类、工业工程类、电子商务类、社会保障类、法学类、政治学类、社会学类、马克思主义理论类、电子信息类、计算机类、自动化类、管理科学与工程类、机械类、能源动力类、电气类、矿业类、中国语言文学类', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省咸宁市通山县', u'湖北省咸宁市通山县', u'在本单位最低服务年限为5年，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局随州市曾都区税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（六）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110246006', u'县（区）级及以下', u'行政执法类', u'1', u'经济学类、财政学类、金融学类、经济与贸易类、数学类、统计学类、财会审计类、电子商务类、社会保障类、新闻传播学类、法学类、电子信息类、计算机类、管理科学与工程类、测绘类、地质类、矿业类、能源动力类、航空航天类、工业工程类、英语相关专业', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省随州市曾都区', u'湖北省随州市曾都区', u'在本单位最低服务年限为5年，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
[u'130121', u'国家税务总局湖北省税务局', u'国家税务总局随州高新技术产业开发区税务局', u'中央国家行政机关省级以下直属机构', u'一级行政执法员（一）', u'普通职位', u'其他职位', u'从事税费征收管理、纳税服务及相关行政工作', u'300110249001', u'县（区）级及以下', u'行政执法类', u'2', u'经济学类、财政学类、金融学类、经济与贸易类、数学类、统计学类、财会审计类、电子商务类、社会保障类、新闻传播学类、法学类、电子信息类、计算机类、管理科学与工程类、测绘类、地质类、矿业类、能源动力类、航空航天类、工业工程类、英语相关专业', u'本科及以上', u'与最高学历相对应的学位', u'不限', u'无限制', u'无限制', u'否', u'3:1', u'湖北省随州市', u'湖北省随州市', u'在本单位最低服务年限为5年，本单位不提供宿舍', u'http://hubei.chinatax.gov.cn/', u'027-87322493', u'', u'']
